Unnamed: 0,prompt,source,prompt_no
315,"The weather report said that it would be a sunny day. I decided not to bring an umbrella with me. When I was outdoors, it started to rain.",roc,"Værrapporten sa at det ville være en solskinnsdag.Jeg bestemte meg for ikke å ta med meg en paraply.Da jeg var utendørs, begynte det å regne."
316,Cal went out for a walk as dusk was falling. He sang softly along to his mp3 player as he walked along.,roc,Cal gikk ut en tur da skumringen falt.Han sang mykt med til MP3 -spilleren sin da han gikk med.
317,Ca'daan took them to the back of the mines and the weary eyes of the villagers followed.,mnli,"Ca'daan tok dem med til baksiden av gruvene, og landsbyboernes slitne øyne fulgte etter."
318,We had a late luncheon and spent the afternoon resting in the garden.,mnli,Vi spiste en sen lunsj og brukte ettermiddagen til å hvile i hagen.
319,"Steve and his roommate were always arm wrestling each other. They would go to the local bar and challenge anyone to a duel. One night, Steve's girlfriend challenged them both.",roc,Steve og romkameraten hans kjempet alltid mot hverandre. De ville gå til den lokale baren og utfordre hvem som helst til en duell. En natt utfordret Steves kjæreste dem begge.
320,Jimmy went to the park everyday after work with his dog named bruno. He would play fetch with Bruno at the park using a frisbee.,roc,Jimmy dro til parken hver dag etter jobb med hunden sin som heter Bruno.Han ville spille hente med Bruno i parken ved hjelp av en frisbee.
321,"It was not necessary to allow for all theoretical courses, but only for the normal orbits.",mnli,"Det var ikke nødvendig å gi rom for alle teoretiske kurs, men kun for de normale banene."
322,We ask that you listen to us and understand what is coming.,mnli,Vi ber om at du lytter til oss og forstår hva som kommer.
323,"I used to wash my car every weekend. Unfortunately, little incidents can cause us to change our habits.",roc,Jeg pleide å vaske bilen min hver helg.Dessverre kan små hendelser føre til at vi endrer vanene våre.
324,You will understand me when I say that it was a deadly life for a girl brought up as I had been.,mnli,Du vil forstå meg når jeg sier at det var et dødelig liv for en jente som ble brakt opp som jeg hadde vært.
325,Don noticed there was a bad smell in the house. He smelled the smell everywhere he went. Don couldn't find the source of the smell.,roc,Don la merke til at det var en dårlig lukt i huset.Han luktet lukten overalt hvor han gikk.Don kunne ikke finne kilden til lukten.
326,A man woke up one day. Thought that he should buy a bike. And then he went down the cyclists to get one.,roc,En mann våknet en dag. Tenkte at han skulle kjøpe en sykkel. Og så gikk han ned syklistene for å hente en.
327,"Find the extra coffee-cup, and you can rest in peace.' Is that right? I asked, much mystified.",mnli,"Finn den ekstra kaffekoppen, og du kan hvile i fred.' Er det riktig? spurte jeg, mye forvirret."
328,Lucy was getting married. She hired a woman to help with her makeup. When she got it done though it looked terrible.,roc,"Lucy skulle gifte seg. Hun hyret en kvinne til å hjelpe med sminken hennes. Da hun fikk det gjort, så det forferdelig ut."
329,"In a case such as theirs, then, there was little or no chance that another ship would come within range of their subetherics except for the most improbable of coincidences.",mnli,"I et tilfelle som deres, da var det liten eller ingen sjanse for at et annet skip skulle komme innenfor rekkevidden av deres subetherics bortsett fra det mest usannsynlige av tilfeldigheter."
330,"They spent the morning discussing the mechanism, loading, cleaning, and use of the two pistols.",mnli,"De brukte morgenen på å diskutere mekanismen, laste, rengjøring og bruk av de to pistolene."
331,Dan was driving home from work. He decided to pick up some snacks to take home. He went into his local gas station.,roc,Dan kjørte hjem fra jobb. Han bestemte seg for å hente litt snacks med hjem. Han gikk inn på sin lokale bensinstasjon.
332,Kevin really wanted stylish new shoes. He worked at his paper route to buy them. He did not waste his money on snacks and sodas.,roc,Kevin ønsket virkelig stilige nye sko.Han jobbet på papirruten for å kjøpe dem.Han kastet ikke bort pengene sine på snacks og brus.
333,"Somehow, I'd hoped for a bit more of a response.",mnli,På en eller annen måte hadde jeg håpet på litt mer respons.
334,Susan was a girl that typically had many dates. Recently she had been in a dry spell and hadn't been kissed in weeks.,roc,Susan var en jente som vanligvis hadde mange datoer.Nylig hadde hun vært i en tørr spell og hadde ikke blitt kysset på uker.
335,Dan wanted to become a Scrabble champion. Dan began practicing the game every evening. Dan read books on Scrabble game technique.,roc,Dan ønsket å bli en Scrabble-mester. Dan begynte å øve spillet hver kveld. Dan leste bøker om Scrabble-spillteknikk.
336,"Heard tell as how you're fixin' to race your plug 'gainst Oro, Kirby,Johnny drawled.",mnli,"Hørt fortelle hvordan du fikser på å rase pluggen din mot Oro, Kirby, Johnny drawled."
337,"Want a room, Kirby? Topham paused beside his table.",mnli,"Vil du ha et rom, Kirby?Topham gikk til pause ved siden av bordet sitt."
338,It had nothing to do with mercy and everything to do with the contagious nature of fear and panic.,mnli,Det hadde ingenting å gjøre med barmhjertighet og alt å gjøre med den smittsomme naturen til frykt og panikk.
339,His head was bald and he had painted a band of scarlet across his eyes.,mnli,Hodet hans var skallet og han hadde malt et band med skarlagen over øynene.
340,I gave a silent prayer of thanks to whoever decided that this thing ought to look like a steam-train.,mnli,Jeg ba en stille takkebønn til den som bestemte at denne tingen skulle se ut som et damptog.
341,"In the bar, Daniel and his crew were waiting for me.",mnli,I baren ventet Daniel og mannskapet hans på meg.
342,Jack took his wife and kids to the zoo today. Halfway through the day it started to rain. They ran inside a shop to avoid getting wet.,roc,Jack tok med seg kona og barna til dyrehagen i dag. Halvveis på dagen begynte det å regne. De løp inn i en butikk for å unngå å bli våte.
343,It reminded Jon of the day Renold had given Jon the falcon pistols he wore now.,mnli,Det minnet Jon om dagen Renold hadde gitt Jon falkepistolene han hadde på seg nå.
344,"Tom was planning to propose to Mary. He had already bought a diamond engagement ring. Eager to propose, he showed her the ring. Surprisingly, Mary opposed blood diamonds.",roc,"Tom planla å fri til Mary. Han hadde allerede kjøpt en diamantforlovelsesring. Ivrig etter å fri, viste han henne ringen. Overraskende nok var Mary imot bloddiamanter."
345,You're sure they will come north? asked A'deem.,mnli,Er du sikker på at de kommer nordover? spurte A'deem.
346,Laura wanted to start going to the gym together. We looked around and tried to decide which gym we wanted to go to.,roc,Laura ønsket å begynne å gå på treningsstudioet sammen.Vi så oss rundt og prøvde å bestemme hvilket treningsstudio vi ønsket å gå til.
347,"Two dogs, Thor and Zeus, were playing outside. Zeus kept coming to the door barking. When April opened the door he walked away waiting for her to follow.",roc,"To hunder, Thor og Zevs, lekte ute. Zevs fortsatte å komme bjeffende til døren. Da April åpnet døren gikk han bort og ventet på at hun skulle følge etter."
348,"I had been invalided home from the Front; and, after spending some months in a rather depressing Convalescent Home, was given a month's sick leave.",mnli,"Jeg var blitt invalidisert hjem fra fronten; og etter å ha tilbrakt noen måneder i et ganske deprimerende rekonvalesenthjem, fikk han en måneds sykemelding."
349,I saw a path at the side of the road.,mnli,Jeg så en sti ved siden av veien.
350,"She had known nothing of the tragedy, until awakened by Mrs. Cavendish.",mnli,"Hun hadde ikke visst noe om tragedien, før hun ble vekket av fru Cavendish."
351,Gary returned home after a long day at work. He found his kids playing in the living room. They were running around yelling.,roc,Gary kom hjem etter en lang dag på jobben.Han fant barna sine lekte i stuen.De løp rundt og ropte.
352,Casey decided he wanted to throw a big party. He put together a guest list and sent out invitations. He hired a deejay and they picked out some music choices.,roc,Casey bestemte seg for at han ville arrangere en stor fest. Han satte sammen en gjesteliste og sendte ut invitasjoner. Han leide en deejay og de valgte noen musikkvalg.
353,Sam was trying to sleep. He turned his fan on but it was too loud. It was too hot without it. Sam decided to fix it.,roc,"Sam prøvde å sove. Han skrudde på viften, men den var for høy. Det var for varmt uten. Sam bestemte seg for å fikse det."
354,"Sara could not wait for Christmas. She knew her mom had been shopping. One day while her mom was gone, Sara decided to start snooping.",roc,"Sara kunne ikke vente til jul. Hun visste at moren hennes hadde handlet. En dag mens moren var borte, bestemte Sara seg for å begynne å snoke."
355,Cindy was waiting for a package she ordered on Amazon. But she read that it was delivered 5 minutes ago. She looked outside but didn't see it.,roc,"Cindy ventet på en pakke hun bestilte på Amazon. Men hun leste at den ble levert for 5 minutter siden. Hun så ut, men så det ikke."
356,"Lilly loves to chew bubble gum. She practically chews it all of the time. One night, she fell asleep with a piece in her mouth.",roc,Lilly elsker å tygge boble tyggegummi.Hun tygger det praktisk talt hele tiden.En natt sovnet hun med et stykke i munnen.
357,Sir James went at once to the root of the matter.,mnli,Sir James gikk straks til roten av saken.
358,Tom found an old case of cookies. He thought to offer them to his roommates. He didn't tell them they were stale. The friends ate them enthusiastically.,roc,Tom fant et gammelt tilfelle av informasjonskapsler.Han tenkte å tilby dem til romkameratene.Han fortalte dem ikke at de var foreldet.Vennene spiste dem entusiastisk.
359,Eddie wanted money to buy a game. His mother said he would have to work to earn the money. Eddie knew where his mother hid her extra cash.,roc,Eddie ville ha penger for å kjøpe et spill. Moren hans sa at han måtte jobbe for å tjene pengene. Eddie visste hvor moren hans gjemte de ekstra pengene sine.
360,"There is a super-dense class, still smaller, poorer in hydrogen, than the inner planets of the solar system.",mnli,"Det er en super tett klasse, fremdeles mindre, dårligere i hydrogen, enn de indre planetene i solsystemet."
361,Greg ended a work shift fed up with his job. He called his boss from the break room phone and told him he quit.,roc,Greg avsluttet et arbeidsskifte lei av jobben sin.Han ringte sjefen sin fra pauserommet -telefonen og fortalte at han sluttet.
362,My fencing master left me bruised and scarred my early teenage life.,mnli,Min fektemester etterlot meg forslått og arret mitt tidlige tenåringsliv.
363,"He reconsidered his belief that there was no delirium, wondering if the feeling were not itself a form of hallucination.",mnli,"Han revurderte sin tro på at det ikke var noe delirium, og lurte på om følelsen ikke i seg selv var en form for hallusinasjon."
364,Kit loves taking care of her plants. One day she noticed a spider-mite infestation. Kit did not know what to do. Kit talked to an expert for help.,roc,Kit elsker å ta vare på plantene sine. En dag la hun merke til et edderkoppmidd-angrep. Kit visste ikke hva han skulle gjøre. Kit snakket med en ekspert for å få hjelp.
365,The kids were headed back to school. It was a new school year. They were excited and nervous. It would be their first year in the new school.,roc,Ungene ble på vei tilbake til skolen. Det var et nytt skoleår. De var spente og nervøse. Det ville være deres første år på den nye skolen.
366,A man was having a really hot night at the craps table. He was doing so well that he drew a big crowd.,roc,En mann hadde en veldig varm natt ved craps -bordet.Han hadde det så bra at han trakk et stort publikum.
367,It seemed to me the man would never go.,mnli,Det virket for meg at mannen aldri ville gå.
368,Jill was afraid of the dark and wanted to fix it. Jill went to the store and asked around about good lamps.,roc,Jill var redd for mørket og ville fikse det. Jill gikk til butikken og spurte rundt om gode lamper.
369,He dared not hope to spend his days here with Susan working on a small farm or working for the blacksmith.,mnli,Han turte ikke å håpe å tilbringe dagene sine her med Susan på en liten gård eller jobbe for smeden.
370,"Dee ran through the lush, green meadow without a care in the world. A beautiful butterfly landed in the palm of her hand.",roc,"Dee løp gjennom den frodige, grønne engen uten omsorg i verden.En vakker sommerfugl landet i håndflaten."
371,Eve's dog galloped into the dining room. They'd just set out a dinner buffet for guests soon to arrive.,roc,Evas hund galopperte inn i spisesalen.De ville nettopp satt ut en middagsbuffé for gjester snart for å ankomme.
372,He looked down at the tattoos that crossed the large man's chest.,mnli,Han så ned på tatoveringene som krysset den store mannens bryst.
373,Anna applied bleach to color her roots. Then she went to watch TV. But she lost track of time! She left the bleach on for far too long.,roc,Anna brukte blekemiddel for å farge røttene hennes. Så gikk hun for å se på TV. Men hun mistet oversikten over tid! Hun lot blekemiddelet virke altfor lenge.
374,"Wright loved to clean his home. One day after a very big party, the house was very messy. There was even pizza on the roof.",roc,Wright elsket å rydde hjemmet sitt. En dag etter en veldig stor fest var huset veldig rotete. Det var til og med pizza på taket.
375,Kevin had been growing his hair out for six months. It was getting so long and flowy. He went to the salon to get a trim.,roc,Kevin hadde vokst ut håret i seks måneder. Det ble så langt og flytende. Han dro til salongen for å få en trimming.
376,"Julie arrives early to the airport for her flight. Just as she gets to the desk, she receives an alert on her phone.",roc,"Julie kommer tidlig til flyplassen for å fly. Akkurat i det hun kommer til skrivebordet, mottar hun et varsel på telefonen."
377,Danny has loved football since he was a kid. He always wanted to go to a professional football game.,roc,Danny har elsket fotball siden han var liten. Han har alltid ønsket å gå på en profesjonell fotballkamp.
378,I ate six pieces of gum at once. I chewed the gum for a whole day. The gum broke my jaw. I went to the doctor.,roc,Jeg spiste seks tannkjøttstykker på en gang.Jeg tygget tannkjøttet en hel dag.Tannkjøttet brakk kjeven min.Jeg dro til legen.
379,"Scrambles the cat was adopted in late July from a shelter. She was transported to her new home in her owner's car. Once home, Scrambles nervously explored her surroundings.",roc,"Krammer katten ble adoptert i slutten av juli fra et ly.Hun ble fraktet til sitt nye hjem i eierens bil.Når de er hjemme, undersøkte nervøst omgivelsene."
380,There was something I had to see first.,mnli,Det var noe jeg måtte se først.
381,Tasha plays softball with her family. The team had a game one night. She met a man named Jared from the other team.,roc,Tasha spiller softball med familien. Laget hadde en kamp en kveld. Hun møtte en mann ved navn Jared fra det andre laget.
382,John felt he was getting fat. He decided to start working out. He invited a friend to do it with him. They would motivate each other to do better.,roc,John følte at han ble feit. Han bestemte seg for å begynne å trene. Han inviterte en venn til å gjøre det sammen med ham. De ville motivere hverandre til å gjøre det bedre.
383,He had hoped to spend the next three months in Fena Set avoiding the fall torrent.,mnli,Han hadde håpet å tilbringe de neste tre månedene i Fena Set for å unngå høststrømmen.
384,Precisely what are your views? Precisely what are you saying?',mnli,Nettopp hva er dine synspunkter?Nettopp hva sier du? '
385,"What have you been doing, doctor? cried Mrs. Cavendish.",mnli,"Hva har du gjort, doktor? ropte fru Cavendish."
386,The head of the ward looked at a young doctor and told him sternly:,mnli,Avdelingslederen så på en ung lege og sa strengt til ham:
387,Grace always ran through the local park for exercise. The park had been closed down recently for sidewalk repairs.,roc,Grace løp alltid gjennom den lokale parken for å trene. Parken hadde nylig blitt stengt for reparasjoner av fortau.
388,"Like all modern dinosaurs, raptors are inexplicably attracted to the scent of BBQ sauce.",mnli,"Som alle moderne dinosaurer, tiltrekkes rovfugler på uforklarlig vis av duften av BBQ-saus."
389,Jonah wanted to hire the best employee for his firm. He looked at resumes and called in the best. As interviews went by he was getting desperate.,roc,"Jonah ønsket å ansette den beste ansatte for firmaet sitt.Han så på CV og ringte inn det beste.Etter hvert som intervjuene gikk, ble han desperat."
390,"Anita had pushed her adult son around hard that day. While leaving a store she told her friend, I should have broke a leg. Suddenly, Anita tripped and fell down.",roc,Anita hadde presset sin voksne sønn hardt rundt den dagen. Mens hun forlot en butikk fortalte hun venninnen sin at jeg burde ha brukket et bein. Plutselig snublet Anita og falt ned.
391,They may cut you down just to appease their bad luck.,mnli,De kan kutte deg ned bare for å blidgjøre uflaksen deres.
392,"As though he read my thoughts, he nodded gently.",mnli,"Som om han leste tankene mine, nikket han forsiktig."
393,"Their clothes are different, perhaps, but they themselves are just the same.",mnli,"Klærne deres er kanskje forskjellige, men selv er de like."
394,"My mom ordered a steak from the restaurant. She requested that be cooked well-done. When the server brought the food out, the steak was still red.",roc,"Moren min bestilte en biff fra restauranten. Hun ba om å bli tilberedt gjennomstekt. Når serveren brakte maten ut, var biffen fortsatt rød."
395,Mike had to find someone to bring to the dance. He was a geeky guy who loved video games and rarely socialized.,roc,Mike måtte finne noen å ta med seg til dansen. Han var en nerdete fyr som elsket videospill og som sjelden sosialiserte seg.
396,Earnest was always daydreaming about acting. He was totally in love with movies. Earnest wasn't really going anywhere in life. He decided he was going to give acting a shot.,roc,Earnest dagdrømte alltid om skuespill. Han var helt forelsket i filmer. Alvorlig ville egentlig ikke noe sted i livet. Han bestemte seg for at han skulle prøve skuespill.
397,"But you do not know, inspector, how I have been persecuted and maligned. And he shot a baleful glance at Evelyn Howard.",mnli,"Men du vet ikke, inspektør, hvordan jeg har blitt forfulgt og ondartet.Og han skjøt et balefullt blikk på Evelyn Howard."
398,"He dropped it near Adrin, who buttoned his trousers.",mnli,"Han droppet den i nærheten av Adrin, som knappet buksene."
399,"Anse sat crosslegged beside him, the bruise now a black shadow on his jaw.",mnli,"Anse satt i kors ved siden av ham, blåmerket nå en svart skygge på kjeven hans."
400,His Floater had burnt out while still sufficiently distant from surface to have the fall stun him.,mnli,Floateren hans hadde brent ut mens den fortsatt var tilstrekkelig langt fra overflaten til at fallet overveldet ham.
401,I shouldn't like the colonies and I'm perfectly certain they wouldn't like me!,mnli,"Jeg skulle ikke like koloniene, og jeg er helt sikker på at de ikke vil like meg!"
402,Julie drove her car to the grocery store. She accidentally locked her keys in the car. Julie noticed a tow truck in the parking lot.,roc,Julie kjørte bilen sin til matbutikken. Hun låste ved et uhell nøklene sine i bilen. Julie la merke til en bergingsbil på parkeringsplassen.
403,Gray Cloud knew the path and did not stumble.,mnli,Grey Cloud kjente veien og snublet ikke.
404,Ron was writing as fast as he could. The test was a lot longer than he expected.,roc,Ron skrev så fort han kunne. Testen var mye lengre enn han forventet.
405,"and this is Adrin, adventurer of the north.",mnli,"Og dette er adrin, eventyret i nord."
406,"If she shrieked for help there was very little chance of anyone hearing her, whereas there was probably quite a good chance of Mrs. Vandemeyer's shooting her.",mnli,"Hvis hun ropte om hjelp, var det svært liten sjanse for at noen skulle høre henne, mens det sannsynligvis var ganske store sjanser for at fru Vandemeyer skulle skyte henne."
407,Natalie had never been in a helicopter before. She decided to take a ride while on vacation. The helicopter took her over waterfalls and mountains.,roc,Natalie hadde aldri vært i et helikopter før.Hun bestemte seg for å ta en tur mens hun var på ferie.Helikopteret tok henne over fossefall og fjell.
408,"Yet he had a certain charm of manner, and I fancied that, if one really knew him well, one could have a deep affection for him.",mnli,"Likevel hadde han en viss sjarm, og jeg trodde at hvis man virkelig kjente ham godt, kunne man ha en dyp hengivenhet for ham."
409,"Mariana was finally engaged to her love. They spent a lot of time to set up a wedding. The groom however, ended up backing off. Mariana did not know why.",roc,Mariana ble endelig forlovet med kjærligheten sin. De brukte mye tid på å sette opp et bryllup. Brudgommen endte imidlertid opp med å trekke seg tilbake. Mariana visste ikke hvorfor.
410,"She dared not reopen the door, however gently.",mnli,"Hun turte ikke åpne døren igjen, men forsiktig."
411,Tom got a new phone. He dropped it within days. The screen cracked in several locations. Tom had insurance on it that covered accidental damage.,roc,Tom fikk en ny telefon. Han droppet det i løpet av dager. Skjermen sprakk flere steder. Tom hadde forsikring på den som dekket utilsiktet skade.
412,James felt very important. He had a badge as part of his new job. He would flash his badge and be let in any room.,roc,James følte seg veldig viktig.Han hadde et merke som en del av sin nye jobb.Han ville blinke merket sitt og bli sluppet inn ethvert rom.
413,Kate was ordering lunch from an Italian restaurant. They had a white bean hummus on the menu. She decided to try it out. The warm garlicky hummus was lovely.,roc,Kate bestilte lunsj fra en italiensk restaurant. De hadde en hvit bønne hummus på menyen. Hun bestemte seg for å prøve det ut. Den varme hvitløkaktige hummusen var nydelig.
414,Are you hurt? Ca'daan turned and faced Jon.,mnli,Er du såret?Ca'daan snudde seg og møtte Jon.
415,Betraying everybody equally- the one thing Benjamin Franklin certainly wouldn't have done.,mnli,Å forråde alle likt - den eneste tingen Benjamin Franklin absolutt ikke ville ha gjort.
416,Dave went to private school. He had a nice clean uniform. He went to play in the dirty playground. There was a lot of mud.,roc,Dave gikk på privatskole. Han hadde en fin ren uniform. Han gikk for å leke på den skitne lekeplassen. Det var mye gjørme.
417,Jared has been training for the Olympics since he was 14 years old. He made it to the 2016 Olympics in Brazil.,roc,Jared har trent til OL siden han var 14 år gammel. Han kom seg til OL 2016 i Brasil.
418,"There was a tall carved cupboard with a grilled door, a bookcase, and two massive chests shoved back against the walls.",mnli,"Det var et høyt utskåret skap med en grilldør, en bokhylle og to massive kister skjøvet bakover mot veggene."
419,There was no glamour in the enormous droppings of the brill but he had helped rebuild the town even when many made it clear that he was not wanted.,mnli,"Det var ingen glamour i de enorme droppingene til Brill, men han hadde bidratt til å gjenoppbygge byen selv når mange gjorde det klart at han ikke var ønsket."
420,"In a moment or two he roused himself, and went on with his investigations.",mnli,I løpet av et øyeblikk reiste han seg opp og fortsatte med sine undersøkelser.
421,Adam is playing a game of rugby. Adam is giving it his best. He tries to make a score. He gets knocked on the ground and loses the ball.,roc,Adam spiller et spill med rugby.Adam gir det sitt beste.Han prøver å lage en poengsum.Han blir slått på bakken og mister ballen.
422,All of the men continued to watch him as if his actions were highly significant.,mnli,Alle mennene fortsatte å se på ham som om handlingene hans var svært betydningsfulle.
423,Kyle was three and going for his first haircut. He was afraid and nervous. But the hairdresser was very kind to him!,roc,Kyle var tre og gikk for sin første hårklipp. Han var redd og nervøs. Men frisøren var veldig snill mot ham!
424,Tom was getting some fast food. They put out his order and called his number. Tom noticed someone run up and get it first.,roc,Tom fikk litt hurtigmat.De la ut bestillingen hans og ringte nummeret hans.Tom la merke til at noen løper opp og får det først.
425,My teacher looked angry today. My teacher yelled at the classroom and gave us all a pop quiz. The classroom moaned and groaned. Nobody was prepared for this quiz.,roc,Læreren min så sint ut i dag. Læreren min ropte på klasserommet og ga oss alle en popquiz. Klasserommet stønnet og stønnet. Ingen var forberedt på denne quizen.
426,"There was, undoubtedly, a tie of passion between them long before he came to Styles.",mnli,Det var utvilsomt et bånd av lidenskap mellom dem lenge før han kom til Styles.
427,My cousins and I ran to to the bedroom when we heard crawling noises. The noises continued for several minutes.,roc,Jeg og søskenbarna mine løp til soverommet da vi hørte krypende lyder. Lydene fortsatte i flere minutter.
428,Marisa was usually a good girl. She never disrespected her parents until she turned 13. After that she had attitude. She never wanted to go to school.,roc,Marisa var vanligvis en flink jente. Hun disrespekterte aldri foreldrene før hun fylte 13. Etter det hadde hun holdning. Hun ville aldri gå på skolen.
429,"There I know you're wrong, I said warmly.",mnli,"Der vet jeg at du tar feil, sa jeg varmt."
430,"Fred was at a restaurant with his friends. Feeling adventurous, he decided to order a plate of frog legs. But after it arrived, he regret ordering it.",roc,"Fred var på restaurant med vennene sine. Han følte seg eventyrlysten og bestemte seg for å bestille en tallerken med froskelår. Men etter at den kom, angret han på at han bestilte den."
431,"Jace's hair had grown so long, that he was ready for a haircut. At the salon, the cosmetologist put a colorful cover over Jace.",roc,Håret til Jace hadde vokst så langt at han var klar for en hårklipp. På salongen la kosmetologen et fargerikt deksel over Jace.
432,"If you want a model to determine how the orbits should be, we have the finest orrery ever built here in the camp.",mnli,"Hvis du vil ha en modell for å bestemme hvordan banene skal være, har vi det fineste orreriet som noen gang er bygget her i leiren."
433,"In that case, I have no alternative but to agree.",mnli,I så fall har jeg ikke noe annet alternativ enn å si meg enig.
434,"With a faint gesture of the hand, he indicated the figure on the bed.",mnli,Med en svak håndbevegelse indikerte han figuren på sengen.
435,I dropped her here in the car about an hour ago.,mnli,Jeg droppet henne her i bilen for omtrent en time siden.
436,"It consisted of a loaf, some margarine, and a jug of coffee.",mnli,"Den besto av et brød, litt margarin og en kanne kaffe."
437,"The obvious answer was that he was in a normal hospital, somehow still alive, being patched up.",mnli,"Det åpenbare svaret var at han var på et vanlig sykehus, på en eller annen måte fortsatt i live, og ble lappet opp."
438,"On his keyboard he typed various letters and numbers, which would become computer programs for the 0-1 Computer Associates company.",mnli,"På tastaturet hans skrev han forskjellige bokstaver og tall, som skulle bli dataprogrammer for 0-1 Computer Associates-selskapet."
439,"Dan had a very important meeting scheduled with his banker. Dan wanted to ensure that his finances were in order for retirement. However, the day of the meeting, Dan overslept.",roc,"Dan hadde et veldig viktig møte med bankmannen sin. Dan ønsket å sikre at økonomien hans var i orden for pensjonisttilværelsen. Men dagen for møtet, sov Dan for seg."
440,They ain't got no spite 'gainst nobody as wants to rub 'em down an' give 'em a feed.,mnli,De har ingen tross for at ingen ønsker å gni dem ned og gi dem en feed.
441,They would come and Fena Dim would die.,mnli,De ville komme og Fena Dim ville dø.
442,"Juan was incredibly excited for his first day of middle school. He had all his supplies and new clothes, and felt prepared.",roc,"Juan var utrolig spent på sin første dag på ungdomsskolen. Han hadde alle forsyninger og nye klær, og følte seg forberedt."
443,"In accordance with their prearranged plan, she never spoke to Alfred Inglethorp.",mnli,I samsvar med deres forhåndsavtalte plan snakket hun aldri med Alfred Inglethorp.
444,"The axe wielder had learned of Jon's guns, it appeared.",mnli,"Økseføreren hadde fått vite om Jons våpen, viste det seg."
445,Tim was going on a road trip with his family. They asked him if he had to pee before they left. Tim said no.,roc,Tim skulle på biltur med familien sin. De spurte ham om han måtte tisse før de dro. Tim sa nei.
446,Adrin grunted and the expression on his face continued to fall into frustration and hopelessness.,mnli,Adrin gryntet og ansiktsuttrykket fortsatte å falle ned i frustrasjon og håpløshet.
447,Serena was arguing with her mom. She was insisting that Serena had lied about walking the dog. Serena was completely insulted that her mom wouldn't believe her.,roc,Serena kranglet med moren sin. Hun insisterte på at Serena hadde løyet om å gå tur med hunden. Serena ble fullstendig fornærmet over at moren hennes ikke ville tro henne.
448,"He decided that Tuppence, in the throes of anxiety, had gone to the police, and that his disappearance having been made public the gang had not been slow to put two and two together.",mnli,"Han bestemte at Tuppence, i angstens vold, hadde gått til politiet, og at forsvinningen hans, etter å ha blitt offentliggjort, ikke hadde vært sen med å sette sammen to og to."
449,Tom was drunk one night. He decided to get a tattoo. He wanted something foreign looking. He got asian characters without knowing what they meant.,roc,Tom var full en natt. Han bestemte seg for å tatovere seg. Han ville ha noe utenlandsk utseende. Han fikk asiatiske karakterer uten å vite hva de mente.
450,"For the moment, I reckon you're the boss.",mnli,For øyeblikket regner jeg med at du er sjefen.
451,Blaze was born in Holland. His parents moved to Kansas when he was quite young. One day he was playing near a pond and fell in.,roc,Blaze ble født i Holland.Foreldrene hans flyttet til Kansas da han var ganske ung.En dag spilte han i nærheten av et tjern og falt inn.
452,He thinks about another boy he saved from the Eye the way you saved me.,mnli,Han tenker på en annen gutt han reddet fra øyet slik du reddet meg.
453,The sight of horror continued to unfold in front of Ca'daan.,mnli,Synet av redsel fortsatte å utfolde seg foran Ca'daan.
454,Leo is at the carnival. He wants to win his date a prize. He plays the shooting game. He knocks down all the bottles.,roc,Leo er på karneval. Han ønsker å vinne daten sin en premie. Han spiller skytespillet. Han slår ned alle flaskene.
455,Joxer's owner was moving. She needed to find a new home for him. She looked online. She found a man that wanted to adopt a cat.,roc,Joxers eier skulle flytte. Hun trengte å finne et nytt hjem til ham. Hun så på nettet. Hun fant en mann som ville adoptere en katt.
456,All I have to do is let this train reach its third stop.',mnli,Alt jeg trenger å gjøre er å la dette toget nå sitt tredje stopp. '
457,Marvin went to a magic show. The magician messed up on his routine. Marvin was able to understand how the magician was doing his routine.,roc,Marvin dro til et magisk show.Magikeren rotet seg på rutinen.Marvin var i stand til å forstå hvordan tryllekunstneren gjorde sin rutine.
458,Nicole wanted to go to a party. Her parents forbid her from going. After they went to sleep Nicole sneaked out of the house.,roc,"Nicole ville på fest. Foreldrene hennes forbyr henne å gå. Etter at de hadde lagt seg, snek Nicole seg ut av huset."
459,Marcus was opening up a bottle of coke. He saw that his lid said he was a winner. He doubted it but called the number anyways.,roc,"Marcus åpnet en flaske cola. Han så at lokket hans sa at han var en vinner. Han tvilte på det, men ringte nummeret likevel."
460,"For one instant he stopped dead, staring at the figure on the bed, and, at the same instant, Mrs. Inglethorp cried out in a strangled voice, her eyes fixed on the doctor: ""Alfred, Alfred, , "" Then she fell back motionless on the pillows.",mnli,"Et øyeblikk stanset han død, stirret på skikkelsen på sengen, og i samme øyeblikk ropte fru Inglethorp med kvalt stemme, med blikket festet på legen: ""Alfred, Alfred, "" Så falt hun tilbake. ubevegelig på putene."
461,George had always wanted to go white water rafting. Everyone told him it was too dangerous. He saved and planned for this trip for three years.,roc,George hadde alltid ønsket å dra på rafting. Alle sa til ham at det var for farlig. Han sparte og planla denne turen i tre år.
462,My friend was in the pool with her top off. She was on a float. Her neighbor was behind the fence. The neighbor asked her to put some clothes on.,roc,Vennen min var i bassenget med toppen av henne. Hun var på en dupp. Naboen hennes var bak gjerdet. Naboen ba henne ta på seg noen klær.
463,And his hand tightened so on the reins that some fraction of his reaction must have reached Shiloh.,mnli,Og hånden hans strammet seg så fast på tøylene at en del av reaksjonen hans må ha nådd Shiloh.
464,You couldn't help but relieve yourself and know it drenched everyone.,mnli,Du kunne ikke annet enn å avlaste deg selv og vite at det gjennomvåt alle.
